> as(s1, "data.frame")
                            sequence   support
1                            <{A-1}> 0.3224223
2                           <{A-10}> 0.6718494
3                           <{A-11}> 0.5327332
4                           <{A-12}> 0.3150573
5                            <{A-2}> 0.3960720
6                            <{A-3}> 0.4639935
7                            <{A-4}> 0.4050736
8                            <{A-5}> 0.5384615
9                            <{A-6}> 0.6284779
10                           <{A-7}> 0.6890344
11                           <{A-8}> 0.6939444
12                           <{A-9}> 0.6104746
13                           <{L-1}> 0.3895254
14                          <{L-10}> 0.4500818
15                          <{L-11}> 0.4697218
16                          <{L-12}> 0.3003273
17                          <{L-13}> 0.2340426
18                           <{L-2}> 0.2454992
19                           <{L-3}> 0.5171849
20                           <{L-4}> 0.5499182
21                           <{L-5}> 0.4549918
22                           <{L-6}> 0.6366612
23                           <{L-7}> 0.5294599
24                           <{L-8}> 0.6284779
25                           <{L-9}> 0.5171849
26                          <{T-10}> 0.6211129
27                          <{T-11}> 0.6464812
28                          <{T-12}> 0.6178396
29                          <{T-13}> 0.5646481
30                          <{T-14}> 0.5196399
31                          <{T-15}> 0.3944354
32                          <{T-16}> 0.3158756
33                          <{T-17}> 0.2135843
34                           <{T-4}> 0.2340426
35                           <{T-5}> 0.3256956
36                           <{T-6}> 0.4091653
37                           <{T-7}> 0.4860884
38                           <{T-8}> 0.5556465
39                           <{T-9}> 0.6088380
40                     <{A-7},{T-9}> 0.2021277
41                     <{A-8},{T-9}> 0.2135843
42                     <{L-6},{T-9}> 0.2086743
43                     <{T-6},{T-9}> 0.2454992
44                     <{T-7},{T-9}> 0.2905074
45                     <{T-8},{T-9}> 0.3240589
46                     <{T-9},{T-9}> 0.2266776
47                     <{T-6},{T-8}> 0.2193126
48                     <{T-7},{T-8}> 0.2536825
49                   <{A-10},{T-16}> 0.2103110
50                    <{A-7},{T-16}> 0.2029460
51                    <{A-8},{T-16}> 0.2013093
52                    <{L-6},{T-16}> 0.1996727
53                   <{T-11},{T-16}> 0.2045827
54                   <{A-10},{T-15}> 0.2356792
55                    <{A-6},{T-15}> 0.2266776
56                    <{A-7},{T-15}> 0.2471358
57                    <{A-8},{T-15}> 0.2430442
58                    <{A-9},{T-15}> 0.2217676
59                    <{L-6},{T-15}> 0.2315876
60                    <{L-8},{T-15}> 0.2225859
61                   <{T-10},{T-15}> 0.2266776
62                   <{T-11},{T-15}> 0.2528642
63                   <{T-12},{T-15}> 0.2315876
64                   <{T-13},{T-15}> 0.2135843
65                   <{T-14},{T-15}> 0.2029460
66                    <{T-8},{T-15}> 0.2054010
67                    <{T-9},{T-15}> 0.2315876
68                   <{A-10},{T-14}> 0.2954173
69                   <{A-11},{T-14}> 0.2184943
70                    <{A-5},{T-14}> 0.2397709
71                    <{A-6},{T-14}> 0.2774141
72                    <{A-7},{T-14}> 0.3142390
73                    <{A-8},{T-14}> 0.2970540
74                    <{A-9},{T-14}> 0.2765957
75                    <{L-3},{T-14}> 0.2299509
76                    <{L-4},{T-14}> 0.2274959
77                    <{L-6},{T-14}> 0.2954173
78                    <{L-7},{T-14}> 0.2217676
79                    <{L-8},{T-14}> 0.2741408
80                    <{L-9},{T-14}> 0.2225859
81                   <{T-10},{T-14}> 0.3232406
82                   <{T-11},{T-14}> 0.3248773
83                   <{T-12},{T-14}> 0.3109656
84                   <{T-13},{T-14}> 0.2782324
85                    <{T-6},{T-14}> 0.2070376
86                    <{T-7},{T-14}> 0.2397709
87                    <{T-8},{T-14}> 0.2725041
88                    <{T-9},{T-14}> 0.2962357
89                   <{A-10},{T-13}> 0.3117840
90                   <{A-11},{T-13}> 0.2283142
91                    <{A-5},{T-13}> 0.2258592
92                    <{A-6},{T-13}> 0.2831424
93                    <{A-7},{T-13}> 0.3273322
94                    <{A-8},{T-13}> 0.3019640
95                    <{A-9},{T-13}> 0.2700491
96                    <{L-1},{T-13}> 0.2054010
97                    <{L-3},{T-13}> 0.2324059
98                    <{L-4},{T-13}> 0.2422259
99                    <{L-6},{T-13}> 0.3068740
100                   <{L-7},{T-13}> 0.2234043
101                   <{L-8},{T-13}> 0.2700491
102                   <{L-9},{T-13}> 0.2168576
103                  <{T-10},{T-13}> 0.3330606
104                  <{T-11},{T-13}> 0.3592471
105                  <{T-12},{T-13}> 0.3322422
106                   <{T-6},{T-13}> 0.2274959
107                   <{T-7},{T-13}> 0.2708674
108                   <{T-8},{T-13}> 0.3134206
109                   <{T-9},{T-13}> 0.3216039
110           <{T-11},{T-12},{T-13}> 0.2037643
111           <{T-10},{T-11},{T-13}> 0.2094926
112                  <{A-10},{T-12}> 0.3068740
113                  <{A-11},{T-12}> 0.2299509
114                   <{A-5},{T-12}> 0.2078560
115                   <{A-6},{T-12}> 0.2864157
116                   <{A-7},{T-12}> 0.3265139
117                   <{A-8},{T-12}> 0.3117840
118                   <{A-9},{T-12}> 0.2602291
119                   <{L-1},{T-12}> 0.2078560
120                   <{L-3},{T-12}> 0.2373159
121                   <{L-4},{T-12}> 0.2364975
122                   <{L-6},{T-12}> 0.3150573
123                   <{L-7},{T-12}> 0.2250409
124                   <{L-8},{T-12}> 0.2667758
125                   <{L-9},{T-12}> 0.2193126
126                  <{T-10},{T-12}> 0.3731588
127                  <{T-11},{T-12}> 0.3854337
128                  <{T-12},{T-12}> 0.2242226
129                   <{T-6},{T-12}> 0.2414075
130                   <{T-7},{T-12}> 0.2667758
131                   <{T-8},{T-12}> 0.3330606
132                   <{T-9},{T-12}> 0.3535188
133            <{T-9},{T-11},{T-12}> 0.2062193
134            <{T-9},{T-10},{T-12}> 0.1996727
135           <{T-10},{T-11},{T-12}> 0.2291326
136                  <{A-10},{T-11}> 0.2872340
137                  <{A-11},{T-11}> 0.2062193
138                   <{A-5},{T-11}> 0.2103110
139                   <{A-6},{T-11}> 0.2741408
140                   <{A-7},{T-11}> 0.3044190
141                   <{A-8},{T-11}> 0.3044190
142                   <{A-9},{T-11}> 0.2692308
143                   <{L-1},{T-11}> 0.2070376
144                   <{L-3},{T-11}> 0.2324059
145                   <{L-4},{T-11}> 0.2217676
